% r                      z
0.0016023203             4.79118E-14              
0.0016059211             4.8270266E-14            
0.0016095218             4.863341E-14             
0.0016131225             4.900132E-14             
0.0016167233             4.937409E-14             
0.001620324              4.975181E-14             
0.0016239247             5.013458E-14             
0.0016275254             5.052249E-14             
0.0016311262             5.0915635E-14            
0.0016347269             5.131411E-14             
0.0016383275             5.1718006E-14            
0.0016419282             5.2127438E-14            
0.001645529              5.25425E-14              
0.0016491297             5.2963286E-14            
0.0016527304             5.33899E-14              
0.0016563312             5.3822456E-14            
0.001659932              5.426103E-14             
0.0016635327             5.4705735E-14            
0.0016671334             5.5156678E-14            
0.0016707341             5.561396E-14             
0.0016743349             5.607769E-14             
0.0016779356             5.6547977E-14            
0.0016815362             5.702491E-14             
0.0016851369             5.750862E-14             
0.0016887377             5.7999205E-14            
0.0016923384             5.8496787E-14            
0.0016959391             5.900146E-14             
0.0016995398             5.951334E-14             
0.0017031406             6.0032545E-14            
0.0017067413             6.055918E-14             
0.001710342              6.109336E-14             
0.0017139427             6.1635206E-14            
0.0017175435             6.218483E-14             
0.0017211442             6.2742346E-14            
0.0017247448             6.330785E-14             
0.0017283455             6.388151E-14             
0.0017319462             6.446341E-14             
0.001735547              6.5053675E-14            
0.0017391477             6.565243E-14             
0.0017427484             6.625979E-14             
0.0017463492             6.687588E-14             
0.0017499499             6.750083E-14             
0.0017535506             6.813475E-14             
0.0017571514             6.8777795E-14            
0.0017607522             6.943004E-14             
0.0017643529             7.0091644E-14            
0.0017679535             7.07627E-14              
0.0017715542             7.144339E-14             
0.001775155              7.213381E-14             
0.0017787557             7.28341E-14              
0.0017823564             7.354438E-14             
0.0017859571             7.426479E-14             
0.0017895579             7.4995464E-14            
0.0017931586             7.573652E-14             
0.0017967593             7.6488105E-14            
0.00180036               7.7250353E-14            
0.0018039608             7.802339E-14             
0.0018075615             7.880736E-14             
0.0018111621             7.9602374E-14            
0.0018147628             8.0408614E-14            
0.0018183636             8.1226204E-14            
0.0018219643             8.205527E-14             
0.001825565              8.2895964E-14            
0.0018291657             8.3748424E-14            
0.0018327665             8.461279E-14             
0.0018363672             8.54892E-14              
0.0018399679             8.637781E-14             
0.0018435686             8.727875E-14             
0.0018471694             8.8192176E-14            
0.0018507701             8.911823E-14             
0.0018543707             9.0057024E-14            
0.0018579714             9.100878E-14             
0.0018615721             9.1973595E-14            
0.0018651729             9.295164E-14             
0.0018687737             9.394308E-14             
0.0018723744             9.4948016E-14            
0.0018759752             9.5966624E-14            
0.0018795759             9.699906E-14             
0.0018831766             9.804547E-14             
0.0018867773             9.910602E-14             
0.0018903781             1.0018086E-13            
0.0018939787             1.012701E-13             
0.0018975794             1.0237398E-13            
0.0019011801             1.0349262E-13            
0.0019047809             1.0462618E-13            
0.0019083816             1.0577481E-13            
0.0019119823             1.0693868E-13            
0.001915583              1.08117955E-13           
0.0019191838             1.0931278E-13            
0.0019227845             1.1052333E-13            
0.0019263852             1.1174977E-13            
0.0019299859             1.1299225E-13            
0.0019335867             1.1425095E-13            
0.0019371873             1.1559093E-13            
0.001940788              1.1698856E-13            
0.0019443887             1.1840503E-13            
0.0019479895             1.198405E-13             
0.0019515902             1.2129519E-13            
0.001955191              1.2276924E-13            
0.0019587916             1.2426289E-13            
0.0019623924             1.2577629E-13            
0.001965993              1.2730966E-13            
0.0019695938             1.2886317E-13            
0.0019731945             1.3043703E-13            
0.0019767953             1.3203142E-13            
0.001980396              1.3364653E-13            
0.0019839967             1.3528256E-13            
0.0019875974             1.3693972E-13            
0.0019911982             1.386182E-13             
0.001994799              1.4031819E-13            
0.0019983996             1.4203989E-13            
0.0020020003             1.437835E-13             
0.002005601              1.4554922E-13            
0.0020092018             1.4733726E-13            
0.0020128025             1.4914782E-13            
0.0020164032             1.5098109E-13            
0.002020004              1.528373E-13             
0.0020236045             1.5471649E-13            
0.0020272052             1.5661916E-13            
0.0020308062             1.5864259E-13            
0.0020344069             1.6242781E-13            
0.0020380076             1.6623664E-13            
0.0020416083             1.70068E-13              
0.002045209              1.7392087E-13            
0.0020488098             1.7779423E-13            
0.0020524105             1.8168709E-13            
0.0020560112             1.8559847E-13            
0.002059612              1.8952742E-13            
0.0020632127             1.9347298E-13            
0.0020668132             1.9743402E-13            
0.002070414              2.0141011E-13            
0.0020740146             2.0540014E-13            
0.0020776154             2.0940324E-13            
0.002081216              2.1341858E-13            
0.0020848168             2.1744535E-13            
0.0020884175             2.2148273E-13            
0.0020920183             2.2552995E-13            
0.002095619              2.2958623E-13            
0.0020992197             2.3365088E-13            
0.0021028204             2.3772312E-13            
0.0021064212             2.4180227E-13            
0.002110022              2.4588767E-13            
0.0021136226             2.499786E-13             
0.0021172233             2.540745E-13             
0.002120824              2.5817467E-13            
0.0021244248             2.6227856E-13            
0.0021280255             2.6638552E-13            
0.0021316262             2.7049505E-13            
0.002135227              2.7483682E-13            
0.0021388277             2.7919797E-13            
0.0021424284             2.8356443E-13            
0.0021460291             2.8793572E-13            
0.0021496299             2.9231142E-13            
0.0021532306             2.9669106E-13            
0.0021568313             3.0107427E-13            
0.002160432              3.0546063E-13            
0.0021640328             3.098498E-13             
0.0021676335             3.1424142E-13            
0.0021712342             3.1863517E-13            
0.002174835              3.2303077E-13            
0.0021784357             3.2742792E-13            
0.0021820364             3.3182634E-13            
0.0021856371             3.362258E-13             
0.0021892379             3.406261E-13             
0.0021928384             3.4502674E-13            
0.002196439              3.4942814E-13            
0.0022000398             3.538298E-13             
0.0022036405             3.5823165E-13            
0.0022072413             3.6263353E-13            
0.002210842              3.6703537E-13            
0.0022144427             3.7143707E-13            
0.0022180434             3.758386E-13             
0.0022216442             3.8023995E-13            
0.0022252449             3.8464105E-13            
0.0022288456             3.8904196E-13            
0.0022324466             3.93443E-13              
0.002236047              3.9784333E-13            
0.0022396478             4.022439E-13             
0.0022432485             4.0664453E-13            
0.0022468492             4.110453E-13             
0.00225045               4.1544638E-13            
0.002254051              4.1984818E-13            
0.0022576514             4.2425007E-13            
0.0022612521             4.2865304E-13            
0.0022648529             4.330571E-13             
0.0022684536             4.3746243E-13            
0.0022720543             4.418693E-13             
0.002275655              4.4627802E-13            
0.0022792558             4.5068888E-13            
0.0022828565             4.551022E-13             
0.0022864572             4.5951833E-13            
0.002290058              4.639376E-13             
0.0022936587             4.6836043E-13            
0.0022972594             4.727873E-13             
0.00230086               4.772182E-13             
0.0023044609             4.8165454E-13            
0.0023080613             4.860956E-13             
0.0023116623             4.9054304E-13            
0.0023152628             4.9499624E-13            
0.0023188638             4.9945687E-13            
0.0023224643             5.039243E-13             
0.0023260652             5.084003E-13             
0.0023296657             5.128843E-13             
0.0023332667             5.173781E-13             
0.0023368672             5.218811E-13             
0.0023404679             5.2639485E-13            
0.0023440688             5.309201E-13             
0.0023476693             5.354566E-13             
0.0023512703             5.400063E-13             
0.0023548708             5.4456873E-13            
0.0023584717             5.4914585E-13            
0.0023620722             5.5373723E-13            
0.0023656732             5.583449E-13             
0.0023692737             5.6296845E-13            
0.0023728746             5.6761E-13               
0.0023764751             5.7226907E-13            
0.002380076              5.7694794E-13            
0.0023836766             5.8164617E-13            
0.0023872773             5.8636565E-13            
0.002390878              5.91107E-13              
0.0023944788             5.958713E-13             
0.0023980795             6.006594E-13             
0.0024016802             6.054724E-13             
0.002405281              6.103112E-13             
0.0024088817             6.1517707E-13            
0.0024124824             6.2007094E-13            
0.0024160831             6.249939E-13             
0.0024196838             6.299472E-13             
0.0024232846             6.3493183E-13            
0.002426885              6.399487E-13             
0.002430486              6.4499995E-13            
0.0024340865             6.500855E-13             
0.0024376875             6.552078E-13             
0.002441288              6.603669E-13             
0.002444889              6.655653E-13             
0.0024484894             6.70803E-13              
0.0024520904             6.7608256E-13            
0.002455691              6.814044E-13             
0.0024592918             6.8677014E-13            
0.0024628926             6.9218123E-13            
0.0024664933             6.9763894E-13            
0.002470094              7.031448E-13             
0.0024736945             7.086998E-13             
0.0024772955             7.143065E-13             
0.002480896              7.199649E-13             
0.002484497              7.2567804E-13            
0.0024880974             7.3144583E-13            
0.0024916984             7.3727136E-13            
0.0024952989             7.431547E-13             
0.0024988998             7.4909897E-13            
0.0025025003             7.5510415E-13            
0.0025061013             7.611735E-13             
0.0025097018             7.67307E-13              
0.0025133025             7.7350756E-13            
0.0025169032             7.7977647E-13            
0.002520504              7.8611537E-13            
0.0025241047             7.9252604E-13            
0.0025277054             7.990102E-13             
0.0025313061             8.055697E-13             
0.0025349068             8.1220615E-13            
0.0025385076             8.1892154E-13            
0.0025421083             8.2571753E-13            
0.0025457093             8.325966E-13             
0.0025493097             8.395591E-13             
0.0025529107             8.4660886E-13            
